t,a
6.76,0.07337
6.78,-0.05764
6.8,-0.03184
6.82,0.0749
6.84,0.0141
6.86,-0.09461
6.88,-0.10499
6.9,-0.09399
6.92,0.04187
6.94,0.15833
6.96,0.05319
6.98,-0.03823
7,0.07681
7.02,0.21274
7.04,0.06722
7.06,-0.01068
7.08,0.0981
7.1,0.17063
7.12,0.00869
7.14,-0.19222
7.16,-0.10318
7.18,0.06852
7.2,0.05749
7.22,0.0487
7.24,0.05134
7.26,0.01495
7.28,-0.11484
7.3,-0.02067
7.32,0.24848
7.34,0.25869
7.36,-0.00845
7.38,-0.17606
7.4,-0.02121
7.42,0.13709
7.44,0.11135
7.46,0.04976
7.48,0.06222
7.5,-0.0571
7.52,0.00137
7.54,0.14511
7.56,0.05308
7.58,-0.0548
7.6,0.0837
7.62,0.09104
7.64,0.00957
7.66,-0.02438
7.68,-0.08858
7.7,0.00644
7.72,0.00841
7.74,0.04532
7.76,-0.01965
7.78,-0.14145
7.8,0.02511
7.82,0.12514
7.84,-0.08428
7.86,-0.00678
7.88,0.07089
7.9,-0.07358
7.92,-0.05423
7.94,0.01051
7.96,0.11474
7.98,-0.15928
8,-0.28114
8.02,-0.06247
8.04,0.16774
8.06,0.2098
8.08,0.13923
8.1,0.09579
8.12,-0.10073
8.14,-0.07269
8.16,0.17714
8.18,0.35252
8.2,0.09336
8.22,-0.18563
8.24,-0.03517
8.26,0.06138
8.28,0.02838
8.3,0.01572
8.32,0.00469
8.34,0.02453
8.36,-0.04546
8.38,0.04188
8.4,-0.1077
8.42,-0.13975
8.44,0.04502
8.46,0.06276
8.48,0.17939
8.5,0.08143
8.52,-0.03173
8.54,-0.15146
8.56,-0.12036
8.58,-0.02769
8.6,-0.04109
8.62,-0.03694
8.64,-0.11909
8.66,-0.12932
8.68,-0.04486
8.7,0.07845
8.72,0.11849
8.74,-0.02276
8.76,0.04359
8.78,0.19545
8.8,0.17136
8.82,0.15682
8.84,0.10488
8.86,0.16128
8.88,0.04881
8.9,-0.02391
8.92,0.19507
8.94,0.13043
8.96,-0.03166
8.98,-0.10404
9,0.03989
9.02,0.00213
9.04,-0.03817
9.06,0.0818
9.08,0.03348
9.1,-0.10221
9.12,-0.18094
9.14,-0.10752
9.16,0.09293
9.18,0.25564
9.2,0.06072
9.22,-0.18121
9.24,-0.19682
9.26,0.0308
9.28,0.09397
9.3,0.0529
9.32,-0.01362
9.34,-0.02729
9.36,-0.03744
9.38,-0.01835
9.4,-0.02959
9.42,0.07591
9.44,0.11857
9.46,0.08799
9.48,-0.02583
9.5,-0.04072
9.52,0.05696
9.54,-0.00295
9.56,-0.13856
9.58,-0.21554
9.6,0.05047
9.62,0.20919
9.64,0.16325
9.66,-0.10264
9.68,-0.24552
9.7,-0.29117
9.72,-0.29596
9.74,-0.17305
9.76,-0.03837
9.78,0.00515
9.8,0.02652
9.82,0.0744
9.84,0.04763
9.86,0.06963
9.88,0.15885
9.9,0.22287
9.92,0.22777
9.94,0.1631
9.96,0.09532
9.98,0.02033
10,-0.01314
10.02,-0.10006
10.04,-0.09005
10.06,-0.07355
10.08,-0.06129
10.1,-0.06768
10.12,-0.28074
10.14,-0.32004
10.16,-0.27847
10.18,-0.03631
10.2,0.31648
10.22,0.13317
10.24,-0.20941
10.26,-0.00746
10.28,0.30627
10.3,0.52779
10.32,0.26969
10.34,-0.2146
10.36,-0.41804
10.38,-0.56511
10.4,-0.6117
10.42,-0.51963
10.44,-0.15167
10.46,-0.02955
10.48,-0.18248
10.5,-0.12191
10.52,0.07588
10.54,-0.10906
10.56,-0.29577
10.58,-0.05177
10.6,0.30129
10.62,0.23373
10.64,0.13966
10.66,0.25996
10.68,-0.05704
10.7,-0.43368
