t,sg,y,v
1.040000, 13.012640, -22.062880 , -11.639377,136.109618 
1.050000, 17.601334, -22.168971 , -10.265691,138.627679 
1.060000, 22.743962, -22.261136 , -8.866824,141.145740 
1.070000, 28.414267, -22.339134 , -7.444173,143.384467 
1.080000, 34.582650, -22.402738 , -5.999134,145.623193 
1.090000, 41.216353, -22.451735 , -4.533160,147.571565 
1.100000, 48.279670, -22.485926 , -3.047703,149.519937 
1.110000, 55.734171, -22.505127 , -1.544259,151.168775 
1.120000, 63.538948, -22.509170 , -0.024327,152.817613 
1.130000, 71.650871, -22.497901 , 1.510559,154.159635 
1.140000, 80.024866, -22.471184 , 3.058865,155.501657 
1.150000, 88.614195, -22.428894 , 4.619031,156.531527 
1.160000, 97.370759, -22.370925 , 6.189496,157.561397 
1.170000, 106.245394, -22.297186 , 7.768682,158.275756 
1.180000, 115.188193, -22.207602 , 9.355011,158.990115 
1.190000, 124.148812, -22.102112 , 10.946900,159.387604 
1.200000, 133.076799, -21.980675 , 12.542763,159.785094 
1.210000, 141.921904, -21.843260 , 14.141020,159.866364 
1.220000, 150.634406, -21.689857 , 15.740090,159.947634 
1.230000, 159.165423, -21.520468 , 17.338405,159.715338 
1.240000, 167.467223, -21.335114 , 18.934397,159.483043 
1.250000, 175.493527, -21.133830 , 20.526521,158.941823 
1.260000, 183.199803, -20.916664 , 22.113234,158.400603 
1.270000, 190.543545, -20.683683 , 23.693022,157.557057 
1.280000, 197.484548, -20.434968 , 25.264375,156.713512 
1.290000, 203.985156, -20.170613 , 26.825823,155.576157 
1.300000, 210.010508, -19.890729 , 28.375898,154.438802 
1.310000, 215.528752, -19.595441 , 29.913182,153.018015 
1.320000, 220.511252, -19.284886 , 31.436258,151.597228 
1.330000, 224.932766, -18.959217 , 32.943770,149.905183 
1.340000, 228.771609, -18.618600 , 34.434362,148.213137 
1.350000, 232.009788, -18.263213 , 35.906746,146.263727 
1.360000, 234.633118, -17.893249 , 37.359636,144.314317 
