time,acceleration,a
0,0.0063,0.063
0.02,0.00364,0.0364
0.04,0.00099,0.0099
0.06,0.00428,0.0428
0.08,0.00758,0.0758
0.1,0.01087,0.1087
0.12,0.00682,0.0682
0.14,0.00277,0.0277
0.16,-0.00128,-0.0128
0.18,0.00368,0.0368
0.2,0.00864,0.0864
0.22,0.0136,0.136
0.24,0.00727,0.0727
0.26,0.00094,0.0094
0.28,0.0042,0.042
0.3,0.00221,0.0221
0.32,0.00021,0.0021
0.34,0.00444,0.0444
0.36,0.00867,0.0867
0.38,0.0129,0.129
0.4,0.01713,0.1713
0.42,-0.00343,-0.0343
0.44,-0.024,-0.24
0.46,-0.00992,-0.0992
0.48,0.00416,0.0416
0.5,0.00528,0.0528
0.52,0.01653,0.1653
0.54,0.02779,0.2779
0.56,0.03904,0.3904
0.58,0.02449,0.2449
0.6,0.00995,0.0995
0.62,0.00961,0.0961
0.64,0.00926,0.0926
0.66,0.00892,0.0892
0.68,-0.00486,-0.0486
0.7,-0.01864,-0.1864
0.72,-0.03242,-0.3242
0.74,-0.03365,-0.3365
0.76,-0.05723,-0.5723
0.78,-0.04534,-0.4534
0.8,-0.03346,-0.3346
0.82,-0.03201,-0.3201
0.84,-0.03056,-0.3056
0.86,-0.02911,-0.2911
0.88,-0.02766,-0.2766
0.9,-0.04116,-0.4116
0.92,-0.05466,-0.5466
0.94,-0.06816,-0.6816
0.96,-0.08166,-0.8166
0.98,-0.06846,-0.6846
1,-0.05527,-0.5527
1.02,-0.04208,-0.4208
1.04,-0.04259,-0.4259
1.06,-0.04311,-0.4311
1.08,-0.02428,-0.2428
1.1,-0.00545,-0.0545
1.12,0.01338,0.1338
1.14,0.03221,0.3221
1.16,0.05104,0.5104
1.18,0.06987,0.6987
1.2,0.0887,0.887
1.22,0.04524,0.4524
1.24,0.00179,0.0179
1.26,-0.04167,-0.4167
1.28,-0.08513,-0.8513
1.3,-0.12858,-1.2858
1.32,-0.17204,-1.7204
1.34,-0.12908,-1.2908
1.36,-0.08613,-0.8613
1.38,-0.08902,-0.8902
1.4,-0.09192,-0.9192
1.42,-0.09482,-0.9482
1.44,-0.09324,-0.9324
1.46,-0.09166,-0.9166
1.48,-0.09478,-0.9478
1.5,-0.09789,-0.9789
1.52,-0.12902,-1.2902
1.54,-0.07652,-0.7652
1.56,-0.02401,-0.2401
1.58,0.02849,0.2849
1.6,0.08099,0.8099
1.62,0.1335,1.335
1.64,0.186,1.86
1.66,0.2385,2.385
1.68,0.21993,2.1993
1.7,0.20135,2.0135
1.72,0.18277,1.8277
1.74,0.1642,1.642
1.76,0.14562,1.4562
1.78,0.16143,1.6143
1.8,0.17725,1.7725
1.82,0.13215,1.3215
1.84,0.08705,0.8705
1.86,0.04196,0.4196
1.88,-0.00314,-0.0314
1.9,-0.04824,-0.4824
1.92,-0.09334,-0.9334
1.94,-0.13843,-1.3843
1.96,-0.18353,-1.8353
1.98,-0.22863,-2.2863
2,-0.27372,-2.7372
2.02,-0.31882,-3.1882
2.04,-0.25024,-2.5024
2.06,-0.18166,-1.8166
2.08,-0.11309,-1.1309
2.1,-0.04451,-0.4451
2.12,0.02407,0.2407
2.14,0.09265,0.9265
2.16,0.16123,1.6123
2.18,0.22981,2.2981
2.2,0.29839,2.9839
2.22,0.23197,2.3197
2.24,0.16554,1.6554
2.26,0.09912,0.9912
2.28,0.0327,0.327
2.3,-0.03372,-0.3372
2.32,-0.10014,-1.0014
2.34,-0.16656,-1.6656
2.36,-0.23299,-2.3299
2.38,-0.29941,-2.9941
2.4,-0.00421,-0.0421
2.42,0.29099,2.9099
2.44,0.2238,2.238
2.46,0.15662,1.5662
2.48,0.08943,0.8943
2.5,0.02224,0.2224
2.52,-0.04495,-0.4495
2.54,0.01834,0.1834
2.56,0.08163,0.8163
2.58,0.14491,1.4491
2.6,0.2082,2.082
2.62,0.18973,1.8973
2.64,0.17125,1.7125
2.66,0.13759,1.3759
2.68,0.10393,1.0393
2.7,0.07027,0.7027
2.72,0.03661,0.3661
2.74,0.00295,0.0295
2.76,-0.03071,-0.3071
2.78,-0.00561,-0.0561
2.8,0.01948,0.1948
2.82,0.04458,0.4458
2.84,0.06468,0.6468
2.86,0.08478,0.8478
2.88,0.10487,1.0487
2.9,0.05895,0.5895
2.92,0.01303,0.1303
2.94,-0.03289,-0.3289
2.96,-0.07882,-0.7882
2.98,-0.03556,-0.3556
3,0.00771,0.0771
3.02,0.05097,0.5097
3.04,0.01013,0.1013
3.06,-0.03071,-0.3071
3.08,-0.07156,-0.7156
3.1,-0.1124,-1.124
3.12,-0.15324,-1.5324
3.14,-0.11314,-1.1314
3.16,-0.07304,-0.7304
3.18,-0.03294,-0.3294
3.2,0.00715,0.0715
3.22,-0.0635,-0.635
3.24,-0.13415,-1.3415
3.26,-0.2048,-2.048
3.28,-0.12482,-1.2482
3.3,-0.04485,-0.4485
3.32,0.03513,0.3513
3.34,0.1151,1.151
3.36,0.19508,1.9508
3.38,0.12301,1.2301
3.4,0.05094,0.5094
3.42,-0.02113,-0.2113
3.44,-0.0932,-0.932
3.46,-0.02663,-0.2663
3.48,0.03995,0.3995
3.5,0.10653,1.0653
3.52,0.17311,1.7311
3.54,0.11283,1.1283
3.56,0.05255,0.5255
3.58,-0.00772,-0.0772
3.6,0.01064,0.1064
3.62,0.029,0.29
3.64,0.04737,0.4737
3.66,0.06573,0.6573
3.68,0.02021,0.2021
3.7,-0.0253,-0.253
3.72,-0.07081,-0.7081
3.74,-0.04107,-0.4107
3.76,-0.01133,-0.1133
3.78,0.00288,0.0288
3.8,0.01709,0.1709
3.82,0.03131,0.3131
3.84,-0.02278,-0.2278
3.86,-0.07686,-0.7686
3.88,-0.13095,-1.3095
3.9,-0.18504,-1.8504
3.92,-0.14347,-1.4347
3.94,-0.1019,-1.019
3.96,-0.06034,-0.6034
3.98,-0.01877,-0.1877
4,0.0228,0.228
4.02,-0.00996,-0.0996
4.04,-0.04272,-0.4272
4.06,-0.02147,-0.2147
4.08,-0.00021,-0.0021
4.1,0.02104,0.2104
4.12,-0.01459,-0.1459
4.14,-0.05022,-0.5022
4.16,-0.08585,-0.8585
4.18,-0.12148,-1.2148
4.2,-0.15711,-1.5711
4.22,-0.19274,-1.9274
4.24,-0.22837,-2.2837
4.26,-0.18145,-1.8145
4.28,-0.13453,-1.3453
4.3,-0.08761,-0.8761
4.32,-0.04069,-0.4069
4.34,0.00623,0.0623
4.36,0.05316,0.5316
4.38,0.10008,1.0008
4.4,0.147,1.47
4.42,0.09754,0.9754
4.44,0.04808,0.4808
4.46,-0.00138,-0.0138
4.48,0.05141,0.5141
4.5,0.1042,1.042
4.52,0.15699,1.5699
4.54,0.20979,2.0979
4.56,0.26258,2.6258
4.58,0.16996,1.6996
4.6,0.07734,0.7734
4.62,-0.01527,-0.1527
4.64,-0.10789,-1.0789
4.66,-0.20051,-2.0051
4.68,-0.06786,-0.6786
4.7,0.06479,0.6479
4.72,0.01671,0.1671
4.74,-0.03137,-0.3137
4.76,-0.07945,-0.7945
4.78,-0.12753,-1.2753
4.8,-0.17561,-1.7561
4.82,-0.22369,-2.2369
4.84,-0.27177,-2.7177
4.86,-0.15851,-1.5851
4.88,-0.04525,-0.4525
4.9,0.06802,0.6802
4.92,0.18128,1.8128
4.94,0.14464,1.4464
4.96,0.108,1.08
4.98,0.07137,0.7137
5,0.03473,0.3473
5.02,0.09666,0.9666
5.04,0.1586,1.586
5.06,0.22053,2.2053
5.08,0.18296,1.8296
5.1,0.14538,1.4538
5.12,0.1078,1.078
5.14,0.07023,0.7023
5.16,0.03265,0.3265
5.18,0.06649,0.6649
5.2,0.10033,1.0033
5.22,0.13417,1.3417
5.24,0.10337,1.0337
5.26,0.07257,0.7257
5.28,0.04177,0.4177
5.3,0.01097,0.1097
5.32,-0.01983,-0.1983
5.34,0.04438,0.4438
5.36,0.1086,1.086
5.38,0.17281,1.7281
5.4,0.10416,1.0416
5.42,0.03551,0.3551
5.44,-0.03315,-0.3315
5.46,-0.1018,-1.018
5.48,-0.07262,-0.7262
5.5,-0.04344,-0.4344
5.52,-0.01426,-0.1426
5.54,0.01492,0.1492
5.56,-0.02025,-0.2025
5.58,-0.05543,-0.5543
5.6,-0.0906,-0.906
5.62,-0.12578,-1.2578
5.64,-0.16095,-1.6095
5.66,-0.19613,-1.9613
5.68,-0.14784,-1.4784
5.7,-0.09955,-0.9955
5.72,-0.05127,-0.5127
5.74,-0.00298,-0.0298
5.76,-0.01952,-0.1952
5.78,-0.03605,-0.3605
5.8,-0.05259,-0.5259
5.82,-0.04182,-0.4182
5.84,-0.03106,-0.3106
5.86,-0.02903,-0.2903
5.88,-0.02699,-0.2699
5.9,0.02515,0.2515
5.92,0.0177,0.177
5.94,0.02213,0.2213
5.96,0.02656,0.2656
5.98,0.00419,0.0419
6,-0.01819,-0.1819
6.02,-0.04057,-0.4057
6.04,-0.06294,-0.6294
6.06,-0.02417,-0.2417
6.08,0.0146,0.146
6.1,0.05337,0.5337
6.12,0.02428,0.2428
6.14,-0.0048,-0.048
6.16,-0.03389,-0.3389
6.18,-0.00557,-0.0557
6.2,0.02274,0.2274
6.22,0.00679,0.0679
6.24,-0.00915,-0.0915
6.26,-0.02509,-0.2509
6.28,-0.04103,-0.4103
6.3,-0.05698,-0.5698
6.32,-0.01826,-0.1826
6.34,0.02046,0.2046
6.36,0.00454,0.0454
6.38,-0.01138,-0.1138
6.4,-0.00215,-0.0215
6.42,0.00708,0.0708
6.44,0.00496,0.0496
6.46,0.00285,0.0285
6.48,0.00074,0.0074
6.5,-0.00534,-0.0534
6.52,-0.01141,-0.1141
6.54,0.00361,0.0361
6.56,0.01863,0.1863
6.58,0.03365,0.3365
6.6,0.04867,0.4867
6.62,0.0304,0.304
6.64,0.01213,0.1213
6.66,-0.00614,-0.0614
6.68,-0.02441,-0.2441
6.7,0.01375,0.1375
6.72,0.01099,0.1099
6.74,0.00823,0.0823
6.76,0.00547,0.0547
6.78,0.00812,0.0812
6.8,0.01077,0.1077
6.82,-0.00692,-0.0692
6.84,-0.02461,-0.2461
6.86,-0.0423,-0.423
6.88,-0.05999,-0.5999
6.9,-0.07768,-0.7768
6.92,-0.09538,-0.9538
6.94,-0.06209,-0.6209
6.96,-0.0288,-0.288
6.98,0.00448,0.0448
7,0.03777,0.3777
7.02,0.01773,0.1773
7.04,-0.00231,-0.0231
7.06,-0.02235,-0.2235
7.08,0.01791,0.1791
7.1,0.05816,0.5816
7.12,0.03738,0.3738
7.14,0.0166,0.166
7.16,-0.00418,-0.0418
7.18,-0.02496,-0.2496
7.2,-0.04574,-0.4574
7.22,-0.02071,-0.2071
7.24,0.00432,0.0432
7.26,0.02935,0.2935
7.28,0.01526,0.1526
7.3,0.01806,0.1806
7.32,0.02086,0.2086
7.34,0.00793,0.0793
7.36,-0.00501,-0.0501
7.38,-0.01795,-0.1795
7.4,-0.03089,-0.3089
7.42,-0.01841,-0.1841
7.44,-0.00593,-0.0593
7.46,0.00655,0.0655
7.48,-0.02519,-0.2519
7.5,-0.05693,-0.5693
7.52,-0.04045,-0.4045
7.54,-0.02398,-0.2398
7.56,-0.0075,-0.075
7.58,0.00897,0.0897
7.6,0.00384,0.0384
7.62,-0.00129,-0.0129
7.64,-0.00642,-0.0642
7.66,-0.01156,-0.1156
7.68,-0.02619,-0.2619
7.7,-0.04082,-0.4082
7.72,-0.05545,-0.5545
7.74,-0.04366,-0.4366
7.76,-0.03188,-0.3188
7.78,-0.06964,-0.6964
7.8,-0.05634,-0.5634
7.82,-0.04303,-0.4303
7.84,-0.02972,-0.2972
7.86,-0.01642,-0.1642
7.88,-0.00311,-0.0311
7.9,0.0102,0.102
7.92,0.0235,0.235
7.94,0.03681,0.3681
7.96,0.05011,0.5011
7.98,0.02436,0.2436
8,-0.00139,-0.0139
8.02,-0.02714,-0.2714
8.04,-0.00309,-0.0309
8.06,0.02096,0.2096
8.08,0.04501,0.4501
8.1,0.06906,0.6906
8.12,0.05773,0.5773
8.14,0.0464,0.464
8.16,0.03507,0.3507
8.18,0.03357,0.3357
8.2,0.03207,0.3207
8.22,0.03057,0.3057
8.24,0.0325,0.325
8.26,0.03444,0.3444
8.28,0.03637,0.3637
8.3,0.01348,0.1348
8.32,-0.00942,-0.0942
8.34,-0.03231,-0.3231
8.36,-0.02997,-0.2997
8.38,-0.03095,-0.3095
8.4,-0.03192,-0.3192
8.42,-0.02588,-0.2588
8.44,-0.01984,-0.1984
8.46,-0.01379,-0.1379
8.48,-0.00775,-0.0775
8.5,-0.01449,-0.1449
8.52,-0.02123,-0.2123
8.54,0.01523,0.1523
8.56,0.0517,0.517
8.58,0.08816,0.8816
8.6,0.12463,1.2463
8.62,0.16109,1.6109
8.64,0.12987,1.2987
8.66,0.09864,0.9864
8.68,0.06741,0.6741
8.7,0.03618,0.3618
8.72,0.00495,0.0495
8.74,0.0042,0.042
8.76,0.00345,0.0345
8.78,0.00269,0.0269
8.8,-0.05922,-0.5922
8.82,-0.12112,-1.2112
8.84,-0.18303,-1.8303
8.86,-0.12043,-1.2043
8.88,-0.05782,-0.5782
8.9,0.00479,0.0479
8.92,0.0674,0.674
8.94,0.13001,1.3001
8.96,0.08373,0.8373
8.98,0.03745,0.3745
9,0.06979,0.6979
9.02,0.10213,1.0213
9.04,-0.03517,-0.3517
9.06,-0.17247,-1.7247
9.08,-0.13763,-1.3763
9.1,-0.10278,-1.0278
9.12,-0.06794,-0.6794
9.14,-0.0331,-0.331
9.16,-0.03647,-0.3647
9.18,-0.03984,-0.3984
9.2,-0.00517,-0.0517
9.22,0.0295,0.295
9.24,0.06417,0.6417
9.26,0.09883,0.9883
9.28,0.1335,1.335
9.3,0.05924,0.5924
9.32,-0.01503,-0.1503
9.34,-0.08929,-0.8929
9.36,-0.16355,-1.6355
9.38,-0.06096,-0.6096
9.4,0.04164,0.4164
9.42,0.01551,0.1551
9.44,-0.01061,-0.1061
9.46,-0.03674,-0.3674
9.48,-0.06287,-0.6287
9.5,-0.08899,-0.8899
9.52,-0.0543,-0.543
9.54,-0.01961,-0.1961
9.56,0.01508,0.1508
9.58,0.04977,0.4977
9.6,0.08446,0.8446
9.62,0.05023,0.5023
9.64,0.016,0.16
9.66,-0.01823,-0.1823
9.68,-0.05246,-0.5246
9.7,-0.08669,-0.8669
9.72,-0.06769,-0.6769
9.74,-0.0487,-0.487
9.76,-0.0297,-0.297
9.78,-0.01071,-0.1071
9.8,0.00829,0.0829
9.82,-0.00314,-0.0314
9.84,0.02966,0.2966
9.86,0.06246,0.6246
9.88,-0.00234,-0.0234
9.9,-0.06714,-0.6714
9.92,-0.04051,-0.4051
9.94,-0.01388,-0.1388
9.96,0.01274,0.1274
9.98,0.00805,0.0805
10,0.03024,0.3024
10.02,0.05243,0.5243
10.04,0.02351,0.2351
10.06,-0.00541,-0.0541
10.08,-0.03432,-0.3432
10.1,-0.06324,-0.6324
10.12,-0.09215,-0.9215
10.14,-0.12107,-1.2107
10.16,-0.0845,-0.845
10.18,-0.04794,-0.4794
10.2,-0.01137,-0.1137
10.22,0.0252,0.252
10.24,0.06177,0.6177
10.26,0.04028,0.4028
10.28,0.0188,0.188
10.3,0.04456,0.4456
10.32,0.07032,0.7032
10.34,0.09608,0.9608
10.36,0.12184,1.2184
10.38,0.0635,0.635
10.4,0.00517,0.0517
10.42,-0.05317,-0.5317
10.44,-0.03124,-0.3124
10.46,-0.0093,-0.093
10.48,0.01263,0.1263
10.5,0.03457,0.3457
10.52,0.03283,0.3283
10.54,0.03109,0.3109
10.56,0.02935,0.2935
10.58,0.04511,0.4511
10.6,0.06087,0.6087
10.62,0.07663,0.7663
10.64,0.09239,0.9239
10.66,0.05742,0.5742
10.68,0.02245,0.2245
10.7,-0.01252,-0.1252
10.72,0.0068,0.068
10.74,0.02611,0.2611
10.76,0.04543,0.4543
10.78,0.01571,0.1571
10.8,-0.01402,-0.1402
10.82,-0.04374,-0.4374
10.84,-0.07347,-0.7347
10.86,-0.0399,-0.399
10.88,-0.00633,-0.0633
10.9,0.02724,0.2724
10.92,0.0608,0.608
10.94,0.03669,0.3669
10.96,0.01258,0.1258
10.98,-0.01153,-0.1153
11,-0.03564,-0.3564
11.02,-0.00677,-0.0677
11.04,0.0221,0.221
11.06,0.05098,0.5098
11.08,0.07985,0.7985
11.1,0.06915,0.6915
11.12,0.05845,0.5845
11.14,0.04775,0.4775
11.16,0.03706,0.3706
11.18,0.02636,0.2636
11.2,0.05822,0.5822
11.22,0.09009,0.9009
11.24,0.12196,1.2196
11.26,0.10069,1.0069
11.28,0.07943,0.7943
11.3,0.05816,0.5816
11.32,0.03689,0.3689
11.34,0.01563,0.1563
11.36,-0.00564,-0.0564
11.38,-0.0269,-0.269
11.4,-0.04817,-0.4817
11.42,-0.06944,-0.6944
11.44,-0.0907,-0.907
11.46,-0.11197,-1.1197
11.48,-0.11521,-1.1521
11.5,-0.11846,-1.1846
11.52,-0.1217,-1.217
11.54,-0.12494,-1.2494
11.56,-0.165,-1.65
11.58,-0.20505,-2.0505
11.6,-0.15713,-1.5713
11.62,-0.10921,-1.0921
11.64,-0.06129,-0.6129
11.66,-0.01337,-0.1337
11.68,0.03455,0.3455
11.7,0.08247,0.8247
11.72,0.07576,0.7576
11.74,0.06906,0.6906
11.76,0.06236,0.6236
11.78,0.08735,0.8735
11.8,0.11235,1.1235
11.82,0.13734,1.3734
11.84,0.12175,1.2175
11.86,0.10616,1.0616
11.88,0.09057,0.9057
11.9,0.07498,0.7498
11.92,0.08011,0.8011
11.94,0.08524,0.8524
11.96,0.09037,0.9037
11.98,0.06208,0.6208
12,0.03378,0.3378
12.02,0.00549,0.0549
12.04,-0.02281,-0.2281
12.06,-0.05444,-0.5444
12.08,-0.0403,-0.403
12.1,-0.02615,-0.2615
12.12,-0.01201,-0.1201
12.14,-0.02028,-0.2028
12.16,-0.02855,-0.2855
12.18,-0.06243,-0.6243
12.2,-0.03524,-0.3524
12.22,-0.00805,-0.0805
12.24,-0.04948,-0.4948
12.26,-0.03643,-0.3643
12.28,-0.02337,-0.2337
12.3,-0.03368,-0.3368
12.32,-0.01879,-0.1879
12.34,-0.00389,-0.0389
12.36,0.011,0.11
12.38,0.02589,0.2589
12.4,0.01446,0.1446
12.42,0.00303,0.0303
12.44,-0.0084,-0.084
12.46,0.00463,0.0463
12.48,0.01766,0.1766
12.5,0.03069,0.3069
12.52,0.04372,0.4372
12.54,0.02165,0.2165
